"Grade Curricular - 13 - CI?NCIAS CONT?BEIS (BACHARELADO) - 2021-1 | Prazo Min. 8 - Prazo Max. 18","","","","","","","","","","","","",""
"Série"," Cód. Disc."," Descrição"," Hor. Aula"," Hor. Relógio."," C.H. Prática (aula)"," C.H. Teórica (aula)"," (EAD?)"," C.H. Prática (relógio)"," C.H. Teórica (relógio)"," (EAD?)"," Qtd. Aula"," % Online"," Tipo Disciplina"
"1","24051","COMUNICAÇÃO","60"," ","-","-","-","-","-","-","3"," ","Normal"
"1","24076","INTRODUÇÃO À ECONOMIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"1","24237","METODOLOGIA DE PESQUISA "," ","80","-","-","-","-","-","-","4","100","Normal"
"1","24078","NEGÓCIOS E INOVAÇÃO","60"," ","-","-","-","-","-","-","3"," ","Normal"
"1","24248","PSICOLOGIA DO TRABALHO "," ","80","-","-","-","-","-","-","4","100","Normal"
"1","24194","TEORIA DAS ORGANIZAÇÕES","60"," ","-","-","-","-","-","-","3"," ","Normal"
"2","24170","ANÁLISE E APLICAÇÕES MATEMÁTICAS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"2","24213","DIREITO APLICADO AOS NEGÓCIOS "," ","80","-","-","-","-","-","-","4","100","Normal"
"2","24201","FUNDAMENTOS DE CONTABILIDADE","60"," ","-","-","-","-","-","-","3"," ","Normal"
"2","24233","MATEMÁTICA APLICADA "," ","80","-","-","-","-","-","-","4","100","Normal"
"2","24221","MATEMÁTICA FINANCEIRA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"2","24241","MERCADOS FINANCEIROS E DE CAPITAIS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"3","24174","ANÁLISES ESTATÍSTICAS APLICADAS AOS NEGÓCIOS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"3","24225","CONTABILIDADE EMPRESARIAL","60"," ","-","-","-","-","-","-","3"," ","Normal"
"3","24197","FINANÇAS CORPORATIVAS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"3","24218","GESTÃO AMBIENTAL E RESPONSABILIDADE SOCIAL "," ","80","-","-","-","-","-","-","4","100","Normal"
"3","24256","OPTATIVA "," ","80","-","-","-","-","-","-","4","100","Optativa"
"3","24124","PESQUISA APLICADA E MEIO AMBIENTE","60"," ","-","-","-","-","-","-","3"," ","Normal"
"3","24246","PROBABILIDADE E ESTATÍSTICA "," ","80","-","-","-","-","-","-","4","100","Normal"
"4","24220","CONTABILIDADE DE CUSTOS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"4","24118","EMPREENDEDORISMO "," ","80","-","-","-","-","-","-","4","100","Normal"
"4","24223","GESTÃO ESTRATÉGICA DE CUSTOS "," ","40","-","-","-","-","-","-","2","100","Normal"
"4","24141","LABORATÓRIO CONTÁBIL","60"," ","-","-","-","-","-","-","3"," ","Normal"
"4","24217","MACROECONOMIA E CONTABILIDADE SOCIAL","60"," ","-","-","-","-","-","-","3"," ","Normal"
"4","24129","PROJETO EMPREENDEDOR","60"," ","-","-","-","-","-","-","3"," ","Normal"
"5","24245","ANÁLISE DE DEMONSTRAÇÕES CONTÁBEIS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"5","28333","CONTABILIDADE E ORÇAMENTO PÚBLICO","60"," ","-","-","-","-","-","-","3"," ","Normal"
"5","24232","CONTABILIDADE INTERMEDIÁRIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"5","24258","OPTATIVA "," ","80","-","-","-","-","-","-","4","100","Optativa"
"5","24123","PROJETO DE INOVAÇÃO","60"," ","-","-","-","-","-","-","3"," ","Normal"
"5","24239","TEORIA DA CONTABILIDADE E ÉTICA PROFISSIONAL "," ","80","-","-","-","-","-","-","4","100","Normal"
"6","24173","AUDITORIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"6","24235","CONTROLADORIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"6","24143","DIREITO TRIBUTÁRIO "," ","40","-","-","-","-","-","-","2","100","Normal"
"6","24145","LEGISLAÇÃO TRIBUTÁRIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"6","24181","PERÍCIA, ARBITRAGEM E AVALIAÇÃO "," ","40","-","-","-","-","-","-","2","100","Normal"
"6","24130","PESQUISA E SOCIEDADE","60"," ","-","-","-","-","-","-","3"," ","Normal"
"7","28330","APLICAÇÕES EM NEGÓCIOS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"7","24211","CONTABILIDADE AVANÇADA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"7","24250","ESTÁGIO CURRICULAR SUPERVISIONADO EM CIÊNCIAS CONTÁBEIS I"," ","80","-","-","-","-","-","-","4"," ","Estágio (Prática)"
"7","24215","ÉTICA GERAL E CIDADANIA "," ","40","-","-","-","-","-","-","2","100","Normal"
"7","24257","OPTATIVA "," ","120","-","-","-","-","-","-","6","100","Optativa"
"7","28334","PROJETOS INTERDISCIPLINARES: APLICAÇÕES EM NEGÓCIOS"," ","80","-","-","-","-","-","-","4"," ","Normal"
"8","28336","ANÁLISES DE PROJETO E INVESTIMENTOS "," ","80","-","-","-","-","-","-","4","100","Normal"
"8","24251","ESTÁGIO CURRICULAR SUPERVISIONADO EM CIÊNCIAS CONTÁBEIS II"," ","80","-","-","-","-","-","-","4"," ","Estágio (Prática)"
"8","28331","EXPERIÊNCIAS EM NEGÓCIOS","60"," ","-","-","-","-","-","-","3"," ","Normal"
"8","24196","PLANEJAMENTO E CONTABILIDADE TRIBUTÁRIA","60"," ","-","-","-","-","-","-","3"," ","Normal"
"8","28335","PROJETOS INTERDISCIPLINARES: EXPERIÊNCIAS EM NEGÓCIOS"," ","80","-","-","-","-","-","-","4"," ","Normal"
 , ,Atividades Complementares, ,200,-,-,-,-,-,-, , , 
 , ,Temas Transversais, ,40,-,-,-,-,-,-, , , 
