Grade Curricular - 1 - ADMINISTRA??O (BACHARELADO) - 2021-2 | Prazo Min. 8 - Prazo Max. 18,,,,,,,,,,,,,
Série, Cód. Disc., Descrição, Hor. Aula, Hor. Relógio., C.H. Prática (aula), C.H. Teórica (aula), (EAD?), C.H. Prática (relógio), C.H. Teórica (relógio), (EAD?), Qtd. Aula, % Online, Tipo Disciplina
1,24051,COMUNICAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
1,24076,INTRODUÇÃO À ECONOMIA,60, ,-,-,-,-,-,-,3, ,Normal
1,24237,METODOLOGIA DE PESQUISA , ,80,-,-,-,-,-,-,4,100,Normal
1,24078,NEGÓCIOS E INOVAÇÃO,60, ,-,-,-,-,-,-,3, ,Normal
1,24246,PROBABILIDADE E ESTATÍSTICA , ,80,-,-,-,-,-,-,4,100,Normal
1,24194,TEORIA DAS ORGANIZAÇÕES,60, ,-,-,-,-,-,-,3, ,Normal
2,24170,ANÁLISE E APLICAÇÕES MATEMÁTICAS,60, ,-,-,-,-,-,-,3, ,Normal
2,24201,FUNDAMENTOS DE CONTABILIDADE,60, ,-,-,-,-,-,-,3, ,Normal
2,24223,GESTÃO ESTRATÉGICA DE CUSTOS , ,40,-,-,-,-,-,-,2,100,Normal
2,24233,MATEMÁTICA APLICADA , ,80,-,-,-,-,-,-,4,100,Normal
2,24221,MATEMÁTICA FINANCEIRA,60, ,-,-,-,-,-,-,3, ,Normal
2,24241,MERCADOS FINANCEIROS E DE CAPITAIS,60, ,-,-,-,-,-,-,3, ,Normal
3,24174,ANÁLISES ESTATÍSTICAS APLICADAS AOS NEGÓCIOS,60, ,-,-,-,-,-,-,3, ,Normal
3,24218,GESTÃO AMBIENTAL E RESPONSABILIDADE SOCIAL , ,80,-,-,-,-,-,-,4,100,Normal
3,24158,GESTÃO DE PESSOAS,60, ,-,-,-,-,-,-,3, ,Normal
3,24159,ORGANIZAÇÕES E SUSTENTABILIDADE,60, ,-,-,-,-,-,-,3, ,Normal
3,24124,PESQUISA APLICADA E MEIO AMBIENTE,60, ,-,-,-,-,-,-,3, ,Normal
3,24248,PSICOLOGIA DO TRABALHO , ,80,-,-,-,-,-,-,4,100,Normal
4,24207,DEMONSTRAÇÕES FINANCEIRAS BÁSICAS , ,80,-,-,-,-,-,-,4,100,Normal
4,24215,ÉTICA GERAL E CIDADANIA , ,40,-,-,-,-,-,-,2,100,Normal
4,24217,MACROECONOMIA E CONTABILIDADE SOCIAL,60, ,-,-,-,-,-,-,3, ,Normal
4,24180,NEGÓCIOS INTERNACIONAIS,60, ,-,-,-,-,-,-,3, ,Normal
4,24130,PESQUISA E SOCIEDADE,60, ,-,-,-,-,-,-,3, ,Normal
4,24192,SOCIOLOGIA,60, ,-,-,-,-,-,-,3, ,Normal
